id,name,station,dateTime,cancelled,direction,delay,platform
2|#VN#1#ST#1730325184#PI#0#ZI#376168#TA#0#DA#11124#1S#8000105#1T#1215#LS#8000362#LT#1304#PU#80#RT#1#CA#RB#ZE#15645#ZB#RB 15645#PC#3#FR#8000105#FT#1215#TO#8000362#TT#1304#,RB 15645,"<class 'pyhafas.types.fptf.Station'>({'id': '8000105', 'lid': 'A=1@O=Frankfurt(Main)Hbf@X=8663785@Y=50107149@U=80@L=8000105@i=U×008011068@', 'name': 'Frankfurt(Main)Hbf', 'latitude': 50.107149, 'longitude': 8.663785})",2024-11-01 12:15:00+01:00,False,Dieburg,0 days 00:01:00,13
2|#VN#1#ST#1730325184#PI#0#ZI#409143#TA#10#DA#11124#1S#8000752#1T#1150#LS#8000068#LT#1256#PU#80#RT#1#CA#s#ZE#3#ZB#S      3#PC#4#FR#8000752#FT#1150#TO#8000068#TT#1256#,S 3,"<class 'pyhafas.types.fptf.Station'>({'id': '8098105', 'lid': 'A=1@O=Frankfurt Hbf (tief)@X=8664136@Y=50107410@U=80@L=8098105@i=U×008067016@', 'name': 'Frankfurt Hbf (tief)', 'latitude': 50.10741, 'longitude': 8.664136})",2024-11-01 12:17:00+01:00,False,Darmstadt Hbf,0 days 00:01:00,101
2|#VN#1#ST#1730325184#PI#0#ZI#409807#TA#4#DA#11124#1S#8004645#1T#1158#LS#8000250#LT#1314#PU#80#RT#1#CA#s#ZE#8#ZB#S      8#PC#4#FR#8004645#FT#1158#TO#8000250#TT#1314#,S 8,"<class 'pyhafas.types.fptf.Station'>({'id': '8098105', 'lid': 'A=1@O=Frankfurt Hbf (tief)@X=8664136@Y=50107410@U=80@L=8098105@i=U×008067016@', 'name': 'Frankfurt Hbf (tief)', 'latitude': 50.10741, 'longitude': 8.664136})",2024-11-01 12:17:00+01:00,False,Wiesbaden Hbf,0 days 00:01:00,103
2|#VN#1#ST#1730325184#PI#0#ZI#1846514#TA#2#DA#11124#1S#8000105#1T#1217#LS#8007164#LT#1255#PU#80#RT#1#CA#DPN#ZE#21479#ZB#STN21479#PC#3#FR#8000105#FT#1217#TO#8007164#TT#1255#,STN21479,"<class 'pyhafas.types.fptf.Station'>({'id': '8000105', 'lid': 'A=1@O=Frankfurt(Main)Hbf@X=8663785@Y=50107149@U=80@L=8000105@i=U×008011068@', 'name': 'Frankfurt(Main)Hbf', 'latitude': 50.107149, 'longitude': 8.663785})",2024-11-01 12:17:00+01:00,False,Königstein(Taunus),0 days 00:01:00,22
2|#VN#1#ST#1730325184#PI#0#ZI#408815#TA#9#DA#11124#1S#8000250#1T#1135#LS#8000285#LT#1303#PU#80#RT#1#CA#s#ZE#1#ZB#S      1#PC#4#FR#8000250#FT#1135#TO#8000285#TT#1303#,S 1,"<class 'pyhafas.types.fptf.Station'>({'id': '8098105', 'lid': 'A=1@O=Frankfurt Hbf (tief)@X=8664136@Y=50107410@U=80@L=8098105@i=U×008067016@', 'name': 'Frankfurt Hbf (tief)', 'latitude': 50.10741, 'longitude': 8.664136})",2024-11-01 12:19:00+01:00,False,Rödermark-Ober Roden,0 days 00:03:00,102
2|#VN#1#ST#1730325184#PI#0#ZI#410611#TA#1#DA#11124#1S#8002041#1T#1208#LS#8002388#LT#1247#PU#80#RT#1#CA#s#ZE#6#ZB#S      6#PC#4#FR#8002041#FT#1208#TO#8002388#TT#1247#,S 6,"<class 'pyhafas.types.fptf.Station'>({'id': '8098105', 'lid': 'A=1@O=Frankfurt Hbf (tief)@X=8664136@Y=50107410@U=80@L=8098105@i=U×008067016@', 'name': 'Frankfurt Hbf (tief)', 'latitude': 50.10741, 'longitude': 8.664136})",2024-11-01 12:19:00+01:00,False,Groß Karben,0 days 00:01:00,104
2|#VN#1#ST#1730325184#PI#0#ZI#416678#TA#0#DA#11124#1S#8000105#1T#1221#LS#8000193#LT#1454#PU#80#RT#1#CA#DPN#ZE#24412#ZB#HLB24412#PC#3#FR#8000105#FT#1221#TO#8000193#TT#1454#,HLB24412,"<class 'pyhafas.types.fptf.Station'>({'id': '8000105', 'lid': 'A=1@O=Frankfurt(Main)Hbf@X=8663785@Y=50107149@U=80@L=8000105@i=U×008011068@', 'name': 'Frankfurt(Main)Hbf', 'latitude': 50.107149, 'longitude': 8.663785})",2024-11-01 12:21:00+01:00,False,Kassel Hbf,0 days 00:01:00,16
2|#VN#1#ST#1730325184#PI#0#ZI#484687#TA#1#DA#11124#1S#8000105#1T#1221#LS#8000046#LT#1405#PU#80#RT#1#CA#DPN#ZE#24512#ZB#HLB24512#PC#3#FR#8000105#FT#1221#TO#8000046#TT#1405#,HLB24512,"<class 'pyhafas.types.fptf.Station'>({'id': '8000105', 'lid': 'A=1@O=Frankfurt(Main)Hbf@X=8663785@Y=50107149@U=80@L=8000105@i=U×008011068@', 'name': 'Frankfurt(Main)Hbf', 'latitude': 50.107149, 'longitude': 8.663785})",2024-11-01 12:21:00+01:00,False,Siegen Hbf,0 days 00:01:00,16
2|#VN#1#ST#1730325184#PI#0#ZI#408991#TA#9#DA#11124#1S#8001456#1T#1149#LS#8004400#LT#1256#PU#80#RT#1#CA#s#ZE#2#ZB#S      2#PC#4#FR#8001456#FT#1149#TO#8004400#TT#1256#,S 2,"<class 'pyhafas.types.fptf.Station'>({'id': '8098105', 'lid': 'A=1@O=Frankfurt Hbf (tief)@X=8664136@Y=50107410@U=80@L=8098105@i=U×008067016@', 'name': 'Frankfurt Hbf (tief)', 'latitude': 50.10741, 'longitude': 8.664136})",2024-11-01 12:22:00+01:00,False,Niedernhausen(Taunus),0 days 00:06:00,103
2|#VN#1#ST#1730325184#PI#0#ZI#410573#TA#1#DA#11124#1S#8000712#1T#1159#LS#8002041#LT#1232#PU#80#RT#1#CA#s#ZE#5#ZB#S      5#PC#4#FR#8000712#FT#1159#TO#8002041#TT#1232#,S 5,"<class 'pyhafas.types.fptf.Station'>({'id': '8098105', 'lid': 'A=1@O=Frankfurt Hbf (tief)@X=8664136@Y=50107410@U=80@L=8098105@i=U×008067016@', 'name': 'Frankfurt Hbf (tief)', 'latitude': 50.10741, 'longitude': 8.664136})",2024-11-01 12:22:00+01:00,False,Frankfurt(Main)Süd,0 days 00:01:00,101
